STATCD;DISTCD;STATNAME;DISTNAME;DISTRICTS;BLOCKS;VILLAGES;TOTPOPULAT;P_URB_POP;POPULATION_0_6;GROWTHRATE;SEXRATIO;P_SC_POP;P_ST_POP;OVERALL_LI;FEMALE_LIT;MALE_LIT;AREA_SQKM;TOT_6_10_15;TOT_11_13_15;SCH1;SCH2;SCH3;SCH4;SCH5;SCH6;SCH7;SCH9;SCHTOT;SCH1G;SCH2G;SCH3G;SCH4G;SCH5G;SCH6G;SCH7G;SCH9G;SCHTOTG;SCH1P;SCH2P;SCH3P;SCH4P;SCH5P;SCH6P;SCH7P;SCH9P;SCHTOTP;SCH1GR;SCH2GR;SCH3GR;SCH4GR;SCH5GR;SCH6GR;SCH7GR;SCH9GR;SCHTOTGR;SCH1PR;SCH2PR;SCH3PR;SCH4PR;SCH5PR;SCH6PR;SCH7PR;SCH9PR;SELE1;SELE2;SELE3;SELE4;SELE5;SELE6;SELE7;SCOMP1;SCOMP2;SCOMP3;SCOMP4;SCOMP5;SCOMP6;SCOMP7;ENR501;ENR502;ENR503;ENR504;ENR505;ENR506;ENR507;ENR509;CLS1;CLS2;CLS3;CLS4;CLS5;CLS6;CLS7;TCH1;TCH2;TCH3;TCH4;TCH5;TCH6;TCH7
1;101;JAMMU & KASHMIR;KUPWARA;1;13;391;875564;11.33;197001.9;34.62;843;0.12;8.08;66.92;54.79;77.1;2379;135672;72701;1107;818;2;14;2;84;49;0;2076;980;697;1;14;2;49;49;0;1792;127;121;1;0;0;35;0;0;284;954;681;1;14;2;48;49;0;1749;117;114;0;0;0;23;0;0;44;69;2;8;1;40;25;23;92;1;1;1;39;16;933;237;1;13;1;8;27;43;3489;5315;27;62;23;852;239;2708;5205;43;70;28;1065;638
1;102;JAMMU & KASHMIR;BARAMULA;1;18;678;1015503;17.19;161871.18;20.34;873;0.15;3.74;66.93;55.01;77.35;4243;117874;70952;1215;825;9;11;5;176;69;0;2310;1108;639;1;11;5;96;69;0;1929;107;186;8;0;0;80;0;0;381;1031;600;1;8;5;91;60;0;1796;98;160;4;0;0;58;0;0;278;330;9;7;5;132;57;24;123;7;0;4;85;26;1014;240;0;10;4;35;49;41;4127;5800;210;53;30;1665;360;2937;5873;236;60;105;2533;964
1;103;JAMMU & KASHMIR;SRINAGAR;1;8;94;1269751;98.73;155798.45;23.56;879;0.09;0.72;71.21;63.47;77.95;1979;113560;62397;258;417;36;2;0;263;9;0;985;203;209;1;2;0;65;9;0;489;55;208;35;0;0;198;0;0;496;18;6;0;0;0;6;0;0;30;4;14;0;0;0;1;0;0;96;212;36;0;0;253;8;38;209;36;0;0;213;2;227;161;3;2;0;38;7;30;817;3284;886;11;0;2873;40;828;3647;1159;14;0;4757;129
1;104;JAMMU & KASHMIR;BADGAM;1;13;523;735753;11.74;150755.79;21.18;883;0.05;3.17;57.98;46.6;68.56;1361;118477;58838;755;537;10;10;1;98;57;0;1468;697;423;1;10;1;40;57;0;1229;56;114;9;0;0;58;0;0;237;678;411;0;10;1;40;54;0;1194;55;110;8;0;0;49;0;0;70;78;10;2;1;64;25;19;100;9;3;1;68;15;654;137;0;8;0;15;38;43;2290;3837;119;45;8;1035;325;1878;3892;250;68;19;1493;716
1;105;JAMMU & KASHMIR;PULWAMA;1;8;359;570060;13.8;97651.28;29.18;913;0.07;4.03;65;53.81;75.41;1086;64493;30166;532;339;4;14;2;94;43;0;1028;497;233;0;14;2;23;43;0;812;35;106;4;0;0;71;0;0;216;470;215;0;13;2;23;41;0;764;27;88;0;0;0;48;0;0;29;76;4;3;2;76;35;18;89;4;1;2;69;13;501;125;0;13;1;6;35;36;1688;2584;151;67;5;1101;209;1336;2682;113;90;38;1414;506
1;106;JAMMU & KASHMIR;ANANTNAG;1;12;523;1070144;26.04;206323.76;37.48;937;0.17;10.75;64.32;54.15;74.13;3574;150600;78343;779;869;10;14;5;160;48;0;1885;691;682;2;14;5;72;48;0;1514;88;187;8;0;0;88;0;0;371;626;619;2;12;5;66;43;0;1373;77;147;4;0;0;60;0;0;52;131;10;5;5;122;43;56;172;10;1;2;90;13;696;349;0;13;3;16;39;50;2650;5862;152;60;22;1592;185;2084;6182;261;74;95;2491;597
1;107;JAMMU & KASHMIR;LEH (LADAKH);1;6;110;147104;42.96;11812.45;25.48;583;0.37;71.81;80.48;64.52;89.39;45110;9066;5260;176;145;3;3;2;46;0;0;375;144;126;1;3;2;32;0;0;308;32;19;2;0;0;14;0;0;67;138;121;0;3;2;31;0;0;295;29;13;1;0;0;9;0;0;30;34;3;0;2;42;0;19;84;3;2;2;41;0;174;119;0;3;0;29;0;14;604;1059;45;9;17;473;0;470;1160;62;19;45;813;0
1;108;JAMMU & KASHMIR;KARGIL;1;7;134;143388;8.89;20404.11;20.18;775;0.01;86.89;74.49;58.05;86.73;14036;15468;8377;229;289;6;6;1;27;28;0;586;213;260;1;6;1;18;27;0;526;16;29;5;0;0;9;1;0;60;204;249;1;6;1;18;24;0;503;12;23;2;0;0;6;0;0;4;14;6;5;1;8;7;19;67;6;2;1;19;16;220;234;0;6;0;13;27;16;716;1469;69;26;3;220;99;471;1582;90;44;17;274;288
1;109;JAMMU & KASHMIR;DODA;1;10;388;409576;7.95;71020.48;27.89;922;13.03;9.57;65.97;50.34;80.36;8912;52488;28512;756;533;18;5;9;130;8;0;1459;656;458;13;5;9;105;8;0;1254;100;75;5;0;0;25;0;0;205;640;442;12;5;9;101;8;0;1217;90;63;1;0;0;17;0;0;51;45;10;4;8;68;6;15;39;10;0;4;38;3;693;200;5;5;4;27;5;19;2073;2354;165;17;36;766;36;1867;3010;266;41;172;1391;102
1;110;JAMMU & KASHMIR;UDHAMPUR;1;11;361;555357;19.72;82637.12;20.86;863;24.97;10.15;69.9;58.22;79.93;2637;61091;35880;983;557;36;5;6;155;3;0;1745;906;477;17;5;6;109;3;0;1523;77;80;19;0;0;46;0;0;222;895;466;16;5;6;105;2;0;1495;72;67;10;0;0;33;0;0;146;200;36;0;6;123;3;27;93;30;0;5;62;0;950;191;4;4;2;10;3;13;2256;3080;520;13;22;1151;6;2159;3069;811;27;118;1638;32
1;111;JAMMU & KASHMIR;PUNCH;1;11;187;476820;8.1;84111.05;27.97;890;0.12;36.93;68.69;54.8;81.04;1674;64075;33597;1037;530;10;6;6;100;4;0;1693;930;449;2;6;6;80;4;0;1477;107;81;8;0;0;20;0;0;216;911;436;2;6;6;80;4;0;1445;99;74;6;0;0;12;0;0;57;74;10;2;6;79;4;26;66;9;0;6;37;3;947;124;0;4;1;3;2;17;2616;2587;137;18;56;703;24;2422;3186;147;35;121;1070;62
1;112;JAMMU & KASHMIR;RAJAURI;1;15;390;619266;7.09;118527.51;28.14;863;7.5;36.24;68.54;57.2;78.38;2630;81895;43716;1112;634;39;6;11;161;4;0;1967;999;556;12;6;9;113;4;0;1699;113;78;27;0;2;48;0;0;268;979;542;10;5;9;110;4;0;1659;98;68;15;0;1;38;0;0;136;149;38;4;11;123;2;63;114;34;0;10;93;3;985;181;2;6;7;17;3;23;2877;3186;400;19;40;1089;15;2652;3625;727;33;175;1834;44
1;113;JAMMU & KASHMIR;JAMMU;1;14;861;1526406;49.65;159814.71;12.48;871;24.71;4.52;83.98;77.41;89.77;2342;121628;76166;1078;690;173;1;14;444;8;0;2408;948;390;17;1;14;156;8;0;1534;130;300;156;0;0;288;0;0;874;866;344;8;0;11;133;7;0;1369;92;210;71;0;0;155;0;0;387;484;172;0;14;412;4;82;282;167;0;10;332;3;1017;250;7;0;10;51;4;49;2828;4972;3334;15;77;4622;58;2646;5222;4502;9;380;6478;104
1;114;JAMMU & KASHMIR;KATHUA;1;12;495;615711;14.38;80165.57;20.38;877;22.91;8.65;73.5;64.56;81.4;2502;61407;37816;989;501;66;4;9;185;4;0;1758;900;386;13;4;9;107;4;0;1423;89;115;53;0;0;78;0;0;335;870;366;12;3;9;100;4;0;1364;76;107;33;0;0;56;0;0;177;269;66;4;8;164;2;21;86;55;0;6;75;3;945;181;4;3;5;25;1;18;2449;2943;859;11;43;1493;17;2203;3082;1162;25;207;2146;34
1;115;JAMMU & KASHMIR;SHOPIAN;1;4;253;265960;5.62;40266.34;25.85;951;0.02;8.2;62.49;52.77;71.86;312;28786;17229;349;209;3;4;2;66;13;0;646;314;143;0;4;1;24;13;0;499;35;66;3;0;1;42;0;0;147;307;143;0;1;1;23;13;0;488;34;62;1;0;1;39;0;0;51;65;3;1;2;49;12;18;59;3;0;2;46;2;315;62;0;4;1;3;10;10;1128;1657;56;14;12;681;56;914;1542;81;27;24;965;168
1;116;JAMMU & KASHMIR;BANDIPORA;1;5;205;385099;16.89;60306.5;26.31;911;0.1;19.22;57.82;46.24;68.41;345;46005;27160;401;379;5;8;0;39;26;0;858;389;329;2;8;0;22;26;0;776;12;50;3;0;0;17;0;0;82;343;301;2;6;0;22;22;0;696;11;38;1;0;0;10;0;0;11;32;5;4;0;21;25;6;52;4;2;0;19;13;338;120;1;2;0;5;16;16;1069;2162;46;51;0;347;137;885;2337;95;57;0;506;349
1;117;JAMMU & KASHMIR;KISHTWAR;1;7;163;231037;6.42;39114.56;21.06;917;6.2;16.54;58.54;44.13;71.75;1644;29055;16451;470;324;3;5;4;65;3;0;874;420;299;2;5;4;56;3;0;789;50;25;1;0;0;9;0;0;85;408;284;1;5;4;55;3;0;760;45;16;1;0;0;4;0;0;34;28;3;1;3;32;0;19;36;3;0;3;19;0;434;151;0;3;4;15;1;10;1198;1197;41;15;7;341;18;1138;1709;66;30;75;696;30
1;118;JAMMU & KASHMIR;RAMBAN;1;6;139;283313;4.16;54736.07;31.81;901;4.91;14.02;56.9;40.04;71.97;1329;41326;21287;554;279;3;4;4;79;1;0;924;503;248;3;4;4;67;1;0;830;51;31;0;0;0;12;0;0;94;496;241;3;4;4;65;1;0;814;47;26;0;0;0;7;0;0;158;145;3;4;4;58;1;10;39;2;0;3;27;1;467;29;0;2;3;4;1;6;1407;1335;14;13;16;439;3;1260;1539;56;31;52;805;12
1;119;JAMMU & KASHMIR;GANDERBAL;1;4;148;297003;15.76;50549.91;36.3;869;0.04;20.53;59.99;47.62;70.74;259;37151;21439;372;214;3;4;2;68;12;0;675;344;168;1;4;2;28;12;0;559;28;46;2;0;0;40;0;0;116;325;155;1;4;2;24;12;0;523;27;42;0;0;0;29;0;0;28;49;3;1;2;60;12;11;60;3;2;2;46;7;325;65;1;3;0;7;10;13;1124;1430;44;21;21;782;71;1003;1716;62;28;33;1035;178
1;120;JAMMU & KASHMIR;KULGAM;1;6;282;422786;18.77;70309.31;7.3;951;0.01;6.25;60.35;49.74;70.58;410;48981;26493;424;450;2;5;1;64;24;0;970;356;354;0;5;1;25;24;0;765;68;96;2;0;0;39;0;0;205;339;338;0;5;1;25;24;0;732;59;83;2;0;0;31;0;0;30;84;1;3;1;42;16;22;73;1;1;0;33;12;349;172;1;5;1;6;22;25;1442;3161;22;19;1;697;96;1140;3041;30;29;15;923;303
1;121;JAMMU & KASHMIR;REASI;1;6;261;314714;8.49;55798.79;27.06;891;12;28.08;59.42;47.55;69.93;1719;40695;22639;711;389;10;2;6;83;0;0;1201;684;349;7;2;6;73;0;0;1121;27;40;3;0;0;10;0;0;80;673;345;7;2;5;72;0;0;1104;24;35;1;0;0;5;0;0;79;136;7;1;5;43;0;29;56;6;0;5;20;0;659;110;2;2;4;6;0;8;1456;1592;98;5;34;470;0;1522;1991;160;10;91;751;0
1;122;JAMMU & KASHMIR;SAMBA;1;5;318;318611;16.83;38010.29;16.9;886;28.8;5.51;82.48;74.39;89.76;904;27998;17533;317;225;35;0;3;106;1;0;687;284;151;1;0;3;41;1;0;481;33;74;34;0;0;65;0;0;206;276;141;1;0;3;37;1;0;459;29;71;23;0;0;47;0;0;194;206;35;0;3;106;1;36;103;35;0;3;74;0;301;117;1;0;1;26;1;14;867;1608;483;0;22;934;7;855;1623;627;0;68;1503;12
2;201;HIMACHAL PRADESH;CHAMBA;1;15;1150;518844;6.98;69421.33;12.58;989;21.52;26.1;73.19;62.14;84.19;6522;51872;32067;1222;47;19;260;125;20;80;0;1773;1166;1;5;260;125;0;80;0;1637;56;46;14;0;0;20;0;0;136;1136;1;5;253;120;0;79;0;1594;50;41;3;0;0;15;0;0;1062;47;19;194;124;20;78;55;38;19;64;110;20;49;987;14;2;191;14;3;23;1;4277;403;250;915;472;150;269;2923;386;407;913;1852;238;531
2;202;HIMACHAL PRADESH;KANGRA;1;19;1785;1507223;5.73;160820.69;12.56;1013;21.15;5.6;86.49;80.62;92.55;5739;115686;75483;1806;167;142;324;309;198;183;0;3129;1707;0;6;324;309;1;183;0;2530;99;167;136;0;0;197;0;0;599;1681;0;5;322;295;0;181;0;2484;98;164;119;0;0;183;0;0;1771;162;141;300;309;196;182;70;135;130;28;265;181;62;1633;40;5;294;107;12;112;3;6040;1502;1792;939;917;1848;512;4419;1421;2805;1130;5312;2411;1306
2;203;HIMACHAL PRADESH;LAHUL & SPITI;1;4;168;31528;;2995.16;-5.1;916;7.08;81.44;77.24;66.5;86.97;13841;2385;1488;201;2;1;35;26;3;10;0;278;198;0;1;35;26;0;10;0;270;3;2;0;0;0;3;0;0;8;198;0;1;35;26;0;10;0;270;3;2;0;0;0;3;0;0;112;2;1;26;25;3;8;2;2;1;33;26;3;10;201;1;0;35;25;1;9;0;476;14;10;95;79;29;29;413;23;10;139;378;57;73
2;204;HIMACHAL PRADESH;KULLU;1;6;193;437474;9.43;50047.03;14.65;950;28.01;3.84;80.14;71.01;88.8;5503;37567;22966;786;73;18;129;78;51;50;0;1185;754;0;1;129;76;0;50;0;1010;32;73;17;0;2;51;0;0;175;745;0;1;127;72;0;50;0;995;31;68;10;0;2;40;0;0;581;71;18;90;77;51;49;21;55;17;23;71;50;35;652;27;1;90;9;5;12;4;2573;590;217;381;265;458;148;1985;608;379;436;1216;641;329
2;205;HIMACHAL PRADESH;MANDI;1;20;1804;999518;6.27;109946.98;10.89;1012;29.38;1.28;82.81;74.33;91.51;3950;81423;52391;1814;108;117;350;264;80;115;0;2848;1733;0;1;349;261;0;113;0;2457;81;108;116;1;3;80;2;0;391;1709;0;0;344;255;0;112;0;2420;78;107;100;1;2;69;2;0;1787;108;117;348;264;80;115;60;73;109;26;206;76;40;1602;37;12;323;61;14;67;0;5868;891;1245;1051;999;707;381;4267;850;1621;1311;4030;842;777
2;206;HIMACHAL PRADESH;HAMIRPUR (H.P.);1;6;551;454293;6.91;47700.77;10.08;1096;24.03;0.67;89.01;83.44;95.28;1118;34712;22663;534;60;52;120;96;62;64;0;988;489;0;1;120;95;1;63;0;769;45;60;51;0;1;61;1;0;219;477;0;1;120;88;0;62;0;748;39;52;36;0;1;55;1;0;534;60;52;120;96;62;64;54;54;51;26;91;60;44;453;12;0;115;20;10;47;2;2195;562;572;413;320;509;200;1358;558;886;416;2020;745;460
2;207;HIMACHAL PRADESH;UNA;1;6;394;521057;8.62;58202.07;16.24;977;22.16;1.65;87.23;81.67;92.75;1540;42408;27408;519;42;48;95;122;31;49;0;906;500;0;0;95;120;1;48;0;764;18;42;48;0;2;30;1;0;141;489;0;0;94;113;1;48;0;745;15;41;44;0;1;26;1;0;518;42;48;95;122;31;49;37;34;47;32;119;30;36;327;11;0;71;16;2;22;1;1905;372;631;292;422;305;163;1539;372;882;346;2184;343;339
2;208;HIMACHAL PRADESH;BILASPUR (H.P.);1;5;519;382056;6.58;41605.9;12.08;981;25.92;2.8;85.67;78.9;92.39;1167;29136;18326;643;57;31;108;98;41;47;0;1025;591;1;0;108;98;0;47;0;845;52;56;31;0;0;41;0;0;180;581;0;0;106;93;0;47;0;827;48;48;17;0;0;33;0;0;637;57;31;102;98;41;47;37;50;30;34;97;38;37;578;12;1;101;23;4;28;2;2154;518;318;335;313;326;144;1552;497;550;377;1808;398;335
2;209;HIMACHAL PRADESH;SOLAN;1;7;983;576670;17.7;66374.72;15.21;884;28.35;4.42;85.02;78.02;91.19;1936;48350;30511;833;63;56;148;107;40;58;0;1305;766;1;3;148;106;0;58;0;1082;67;62;53;0;1;40;0;0;223;751;0;0;144;94;0;58;0;1047;53;49;35;0;1;32;0;0;815;63;56;145;107;40;58;64;51;56;43;106;38;38;643;16;0;122;12;3;23;0;2858;546;810;504;376;372;178;2331;592;1255;561;1951;582;404
2;210;HIMACHAL PRADESH;SIRMAUR;1;13;718;530164;10.8;67967.02;15.61;915;30.34;2.13;79.98;72.55;86.76;2825;50339;31434;1055;53;21;194;130;49;85;0;1587;1022;0;2;194;129;0;85;0;1432;33;53;19;0;1;49;0;0;155;1007;0;1;193;124;0;83;0;1408;31;45;9;0;0;38;0;0;907;53;21;129;130;49;83;18;39;21;28;115;46;43;870;17;1;150;15;1;37;1;3651;465;333;528;408;439;268;2496;507;553;567;1846;568;522
2;211;HIMACHAL PRADESH;SHIMLA;1;20;1639;813384;24.77;80769.03;12.58;916;26.51;1.08;84.55;77.8;90.73;5131;62009;39700;1713;118;51;333;246;102;124;0;2687;1607;2;3;333;245;4;124;0;2318;106;116;48;0;1;98;0;0;369;1544;1;0;320;223;2;116;0;2206;93;99;22;0;0;61;0;0;1178;114;51;204;239;102;107;94;104;51;32;202;100;61;1592;52;3;321;106;6;99;1;5648;999;624;942;772;952;374;4018;1004;1426;1218;4083;1394;898
2;212;HIMACHAL PRADESH;KINNAUR;1;3;216;84298;;7983.02;7.61;818;17.53;57.95;80.77;71.34;88.37;6401;6260;3826;201;8;9;36;33;7;19;0;313;183;0;1;36;33;0;19;0;272;18;8;8;0;0;7;0;0;41;181;0;1;36;33;0;19;0;270;18;8;8;0;0;7;0;0;195;8;9;35;33;7;19;22;8;9;30;33;7;18;192;2;0;33;22;1;17;0;662;68;107;103;102;56;51;579;88;154;154;499;75;136
3;301;PUNJAB;GURDASPUR;1;11;1107;2299026;28.5;240937.92;9.3;895;25.26;0;81.06;75.73;85.9;3551;183543;119959;1206;170;142;235;109;193;106;0;2161;1113;0;4;235;95;0;102;0;1549;85;169;138;0;14;193;4;0;603;1050;0;4;229;84;0;97;0;1464;53;118;91;0;4;139;4;0;1206;170;142;235;109;193;106;109;152;141;226;109;193;105;751;48;4;99;2;10;10;15;4152;1592;2156;692;530;2319;402;3783;1537;3059;1090;2440;2942;1255
3;302;PUNJAB;AMRITSAR;1;9;816;2490891;55.17;266525.34;15.48;884;30.95;0;77.2;72.75;81.2;2683;205882;128455;1026;328;200;207;108;256;126;0;2251;996;312;184;207;99;240;122;0;2160;18;7;15;0;9;6;4;0;59;790;122;89;181;62;104;106;0;1454;0;0;2;0;4;0;2;0;1026;328;200;207;108;256;126;183;281;196;177;108;244;126;347;44;4;53;3;7;2;10;4538;3180;3705;674;621;3126;542;4191;3240;6194;816;2697;3778;1330
3;303;PUNJAB;KAPURTHALA;1;5;539;817668;34.9;82666.23;8.37;912;33.95;0;80.18;75.36;84.6;1633;62529;41629;572;56;89;133;55;92;76;0;1073;539;1;5;133;52;4;74;0;808;33;54;84;0;3;88;2;0;264;495;1;4;123;41;1;70;0;735;19;35;46;0;2;42;2;0;572;55;89;133;55;92;76;28;52;89;131;55;92;75;353;12;1;71;2;3;15;15;1954;563;1481;406;218;995;250;1665;594;2474;459;1022;1305;746
3;304;PUNJAB;JALANDHAR;1;11;982;2181753;53.18;213375.44;11.16;913;38.95;0;82.4;78.31;86.1;2624;164181;107352;1119;231;174;178;163;234;129;0;2228;992;1;17;176;147;2;116;0;1451;9;2;20;2;16;3;9;0;61;839;0;6;151;115;0;94;0;1205;0;1;0;1;5;1;2;0;1119;231;174;178;163;234;129;152;211;173;177;163;227;129;566;52;3;46;7;9;5;32;4427;2124;3096;601;694;2598;491;3789;2182;4717;729;2710;3411;1266
3;305;PUNJAB;HOSHIARPUR;1;10;1266;1582793;21.15;162394.56;6.85;962;35.14;0;85.43;80.78;89.9;3386;121442;80838;1322;139;116;235;134;194;146;0;2286;1254;0;1;234;115;2;143;0;1749;66;139;115;1;19;192;3;0;535;1199;0;1;224;103;1;139;0;1667;49;95;68;1;10;136;2;0;1317;139;116;235;134;194;146;54;129;115;232;134;191;146;886;44;4;123;5;21;18;20;4327;1262;1730;724;588;2224;494;3541;1205;2774;1032;2621;2657;1644
3;306;PUNJAB;NAWANSHAHR;1;5;448;614362;20.43;60514.66;4.58;954;42.51;0;80.33;74.28;86.2;1282;45151;29818;438;41;55;111;53;64;60;0;822;424;0;3;110;48;0;54;0;639;14;41;52;1;5;64;6;0;183;408;0;3;108;42;0;53;0;614;9;29;29;1;2;45;5;0;438;41;55;111;53;64;60;56;39;55;110;53;62;60;259;13;1;68;2;2;9;7;1473;385;863;341;228;664;215;1106;408;1327;341;756;880;514
3;307;PUNJAB;RUPNAGAR;1;5;529;683349;12.63;69564.93;8.67;913;26.42;0;83.28;77.17;88.9;1356;52150;33919;581;51;55;169;51;47;65;0;1019;559;2;2;169;45;0;61;0;838;4;5;4;0;5;2;3;0;23;533;1;1;165;39;0;60;0;799;1;1;0;0;3;1;2;0;581;51;55;169;51;47;65;44;48;54;125;51;47;65;394;7;4;107;5;3;13;1;1818;555;892;557;252;535;283;1417;503;1406;583;1069;666;668
3;308;PUNJAB;FATEHGARH SAHIB;1;5;459;599814;30.87;60761.16;11.39;871;32.07;0;80.33;75.53;84.5;1180;45474;29084;469;34;60;137;41;48;44;0;833;448;0;1;137;38;1;44;0;669;2;4;5;0;3;2;0;0;16;413;0;0;133;29;1;41;0;617;1;4;2;0;1;0;0;0;469;34;60;137;41;48;44;14;33;59;137;41;48;44;306;10;2;77;2;1;6;3;1612;309;940;451;171;549;153;1266;342;1581;498;985;771;484
3;309;PUNJAB;LUDHIANA;1;12;1044;3487882;59.14;363088.52;15;869;26.39;0;82.54;78.16;86.3;3578;280799;178143;1194;350;412;200;183;452;170;0;2961;1036;0;7;200;161;4;168;0;1576;156;346;405;0;22;448;2;0;1379;869;0;3;182;134;3;142;0;1333;72;117;146;0;8;116;1;0;1194;350;412;200;183;452;170;109;310;410;187;183;434;170;457;56;9;48;9;13;12;10;5099;2943;6831;667;811;4635;666;4696;3194;12818;980;3554;6252;2099
3;310;PUNJAB;MOGA;1;5;332;992289;22.55;102602.68;10.9;893;36.5;0;71.59;67.41;75.3;2242;77168;51298;381;63;103;84;78;70;78;0;857;362;1;24;84;78;8;78;0;635;19;62;79;0;0;62;0;0;222;328;0;11;80;69;5;73;0;566;15;38;43;0;0;38;0;0;381;63;103;84;78;70;78;26;60;103;83;78;67;78;102;12;2;22;0;8;2;7;1873;572;1679;261;365;791;276;1534;568;2669;363;1370;996;770
3;311;PUNJAB;FIROZPUR;1;6;666;2026831;27.25;241395.57;16.08;893;42.17;0;69.85;62.24;76.7;5305;181175;112831;655;60;103;109;47;74;70;0;1118;627;3;6;109;45;3;70;0;863;28;57;97;0;2;71;0;0;255;592;0;2;108;33;2;69;0;806;14;29;55;0;1;37;0;0;653;59;103;109;47;74;70;33;56;101;106;47;72;70;315;9;2;17;2;4;2;9;2253;571;1512;353;225;817;285;1586;597;2329;408;921;1104;650
3;312;PUNJAB;MUKTSAR;1;4;300;902702;27.99;102005.33;16.1;895;42.31;0;66.79;60.03;72.9;2593;75085;46547;376;55;77;82;79;50;64;0;783;332;0;5;82;76;0;64;0;559;44;55;72;0;3;50;0;0;224;300;0;5;78;68;0;63;0;514;28;34;43;0;1;29;0;0;376;55;77;82;79;50;64;67;53;77;78;79;50;64;77;7;0;19;1;3;2;7;1915;574;1167;258;420;614;250;1571;515;1976;408;1670;770;755
3;313;PUNJAB;FARIDKOT;1;2;234;618008;35.2;66683.06;12.18;889;38.92;0;70.65;64.82;75.9;1458;50013;31824;275;32;52;77;34;43;47;0;560;248;2;1;76;34;1;47;0;409;27;30;51;1;0;42;0;0;151;205;2;0;64;28;1;46;0;346;10;17;28;1;0;19;0;0;275;32;52;77;34;43;47;32;28;51;76;34;41;47;76;4;0;19;1;1;1;4;1265;434;971;257;165;565;186;1203;350;1269;429;978;720;617
3;314;PUNJAB;BATHINDA;1;8;394;1388859;35.99;145413.54;17.37;865;32.44;0;69.57;62.92;75.3;3353;109398;68052;439;103;108;88;106;92;83;0;1019;397;1;8;88;105;0;83;0;682;42;102;100;0;1;92;0;0;337;332;1;2;79;83;0;74;0;571;28;50;40;0;1;38;0;0;439;103;108;88;106;92;83;39;89;106;88;106;87;83;86;11;2;16;1;4;1;21;2104;985;1805;274;570;1094;352;1954;1011;2964;425;2328;1498;1039
3;315;PUNJAB;MANSA;1;5;288;768808;21.26;81493.65;11.62;880;33.63;0;62.78;56.41;68.4;2198;61210;39905;309;43;67;69;58;62;69;0;677;297;4;9;69;58;6;69;0;512;10;31;56;0;0;53;0;0;150;271;2;5;67;48;4;67;0;464;10;22;38;0;0;35;0;0;309;43;67;69;58;62;69;21;27;66;69;58;62;69;50;12;1;7;0;4;1;9;1595;385;1146;258;273;704;274;1208;436;1612;281;1086;828;662
3;316;PUNJAB;SANGRUR;1;10;707;1654408;40.27;175036.37;12.3;883;27.89;0;68.88;62.86;74.2;3625;131199;83592;746;114;177;153;108;156;106;0;1560;668;0;2;153;105;3;106;0;1037;69;110;174;0;3;151;0;0;507;594;0;2;144;88;2;102;0;932;47;73;105;0;3;80;0;0;746;114;177;153;108;156;106;54;91;172;146;107;152;106;263;41;7;36;5;10;4;8;3133;867;2719;513;543;1809;428;2672;941;4487;734;2305;2378;1232
3;317;PUNJAB;PATIALA;1;8;995;1892282;53.64;204934.14;19.4;888;24.55;0;76.26;70.47;81.4;3325;154215;95645;1054;163;220;187;89;224;98;0;2035;961;0;6;186;89;1;98;0;1341;92;163;214;1;0;222;0;0;692;861;0;1;181;72;0;90;0;1205;60;91;120;0;0;103;0;0;1054;160;220;187;89;224;98;111;128;214;184;89;217;98;517;56;5;28;0;18;4;5;3611;1315;3506;618;448;2390;408;3198;1429;6016;863;2431;3111;1281
3;318;PUNJAB;MOHALI;1;3;479;986147;26.02;109265.09;32.02;878;21.74;0;84.87;80.01;89.2;1094;83467;51394;482;128;101;111;39;110;63;0;1034;444;0;5;111;37;1;63;0;661;38;127;96;0;2;108;0;0;371;370;0;3;91;26;0;56;0;546;26;61;32;0;0;46;0;0;481;127;100;111;39;109;63;47;109;99;105;39;107;63;240;23;3;48;0;7;6;3;1756;1196;1668;345;186;1256;246;1606;1280;2849;494;1102;1678;910
3;319;PUNJAB;TARAN TARAN;1;8;512;1120070;31.24;129816.11;19.28;898;33.71;0;69.43;62.88;75.4;2414;100430;64205;577;125;91;99;67;94;111;0;1164;516;1;1;99;60;2;110;0;789;54;121;89;0;7;92;1;0;364;498;1;1;99;54;2;110;0;765;39;99;73;0;4;75;0;0;577;125;91;99;67;94;111;71;105;87;94;67;89;110;164;23;1;24;0;1;2;3;2476;1284;1452;290;324;1150;355;1887;1208;2134;228;1005;1337;643
3;320;PUNJAB;BARNALA;1;3;197;596294;31.97;62968.65;13.16;876;32.24;0;68.9;64.14;73.1;1482;47135;30839;200;43;61;26;41;49;50;0;470;186;0;2;26;39;0;50;0;303;14;43;59;0;2;49;0;0;167;151;0;2;24;31;0;46;0;254;11;21;34;0;1;21;0;0;200;43;61;26;41;49;50;19;41;61;26;41;48;50;42;14;5;6;0;6;0;9;1001;341;1036;96;219;517;207;813;356;1809;123;816;649;555
3;321;PUNJAB;Fazilka;1;5;510;;;;;;;;;;;0;;;543;152;70;94;66;65;73;0;1063;469;0;7;94;63;4;72;0;709;73;152;63;0;3;61;1;0;353;444;0;3;91;56;2;71;0;667;44;96;27;0;0;30;0;0;543;152;70;94;66;65;73;40;124;70;93;65;62;73;169;37;1;7;0;0;0;7;2444;1251;1143;341;348;676;321;2080;1136;1664;499;1657;886;831
